review_no,star,review,customerId,reviewDate,pd_no,subcate_no,category_no
188,3,좋아요저렴하곶ㄴㅎㅇ,jung****,21.05.06.,2,선반,수납가구
189,3,좋아요저렴하고ㅡ?ㄷ,jung****,21.05.06.,2,선반,수납가구
190,3,한달사용기,luck****,21.04.21.,2,선반,수납가구
191,3,"좀불안하지만 잘사용중입니다!",ycb6****,21.04.20.,2,선반,수납가구
192,3,"상품이 생각보다 견고하지 않고 까진부분도 있는데 반품비가 더나올거같아 그냥씁니다. 그래두 설치하니 나쁘진 않구요. 고급스럽진 안아요",ycb6****,21.04.20.,2,선반,수납가구
193,3,"상품이 생각보다 견고하지 않고
까진부분도 있는데 반품비가 더나올거같아
그냥씁니다. 그래두 설치하니 나쁘진 않구요.
고급스럽진 안아요",bak9****,21.04.07.,2,선반,수납가구
194,3,"두께감있구요..엄청튼튼하고 엄청 무거워요
벽고정시에 벽뚫는거 있어야가능합니다..장비갖추시고 주문하세요..",bak9****,21.04.07.,2,선반,수납가구
195,3,"생가보다 엄청무거웠어요..컨테이너 사무실에 벽인테리어 하려고 구매했으나..결국 벽이 약해서 포기..ㅠ",je44****,21.03.30.,2,선반,수납가구
196,3,"가격이 저렴해 많이 기대는 안했지만 그래도 싼티나요ㅋㅋ",yjdq****,21.03.27.,2,선반,수납가구
197,3,"지지대따로사야할정도로 무거움",hell****,21.03.16.,2,선반,수납가구
198,3,"생각보다 선반 마감이 깔끔하진 않네요. 나사가 포함되어있지 않아서 아쉽기도 하고요",damb****,21.03.15.,2,선반,수납가구
199,3,"가벼운걸 원했는데 생각보다 무게감 있어요..",pico****,21.03.13.,2,선반,수납가구
200,3,"색이 다른 선반 종류랑 달라요",pico****,21.03.13.,2,선반,수납가구
